cell.comb,cor.coef,cor.pval,gep.coef,gep.pval,avg_prop.x,avg_prop.y,avg_prop.product,psd.pval,log_psd.pval,log_cor.pval
T.AST-T.Fiber,-0.0667992076551963,4.83386279544005e-49,0.369778845117837,2.05261438487878e-51,0.031864887934009,0.061354935043393,0.00195506812935612,0.204498144689984,1.58719637596105,48.3157056807858
T.AST-Oligodendrocyte,-0.0985124411503021,9.3199426526109e-105,0.18823480047041,7.91540048698677e-14,0.031864887934009,0.0574641332612716,0.00183108816659538,0.000226482483782851,8.39284295032368,104.030586759935
T.AST-Myeloid,-0.0378212499715763,8.24028013109843e-17,0.0325605382783938,0.200118089384948,0.031864887934009,0.164496251559615,0.00524165462151168,0.317086455816312,1.14858081100753,16.0840580240647
T.AST-Lymphocyte,-0.0633735678866405,2.61938192279919e-44,0.0157559004584187,0.535357561178252,0.031864887934009,0.0316804651860097,0.00100949447284947,0.182450533839863,1.7012761901524,43.5818011740179
T.AST-Endothelial,-0.0260178146515597,1.0180331981758e-08,0.146019375381922,7.68937501381025e-09,0.031864887934009,0.0478114169614043,0.00152350544344132,0.461922212988129,0.772358772231808,7.99223805937699
T.AST-Astrocyte,-0.0650747737246252,1.25431767172991e-46,0.485617154631951,1.62728982741966e-92,0.031864887934009,0.13069370515647,0.00416454026849134,0.956261688431228,0.044723670720039,45.9015924590337
T.MES1-T.MES2,-0.137736708201241,8.25124053245527e-204,0.669265899069844,6.20186081880977e-202,0.0561534483229138,0.272191996073069,0.0152845191853999,0.385975962112679,0.951980185775916,203.083480752553
T.MES1-T.Fiber,-0.113218856588444,5.99396209177443e-138,0.294359689170754,2.34041610767379e-32,0.0561534483229138,0.061354935043393,0.0034452911743149,0.00914711588097484,4.69431665364706,137.222286008035
T.MES1-Oligodendrocyte,-0.0710282692478059,3.13662125321008e-55,0.187472005866299,1.00008146221952e-13,0.0561534483229138,0.0574641332612716,0.00322680923750785,0.999999903149539,9.68504657669333e-08,54.5035379191637
T.MES1-Myeloid,0.121021194072653,1.79449219564717e-157,0.0576684993789216,0.0231791378583877,0.0561534483229138,0.164496251559615,0.00923703176126586,0.999999909971421,9.00285829259146e-08,156.746058426099
T.MES1-Lymphocyte,-0.020241311168801,8.36083960637785e-06,0.00822505013808786,0.746267557614094,0.0561534483229138,0.0316804651860097,0.00177896736466846,0.0686228927600241,2.67912908621736,5.07775010795481
T.MES1-Endothelial,-0.0245544681092023,6.46466005391241e-08,0.116511947266647,4.24420937591155e-06,0.0561534483229138,0.0478114169614043,0.0026847759315875,0.184753395288553,1.68873334157681,7.18945430768872
T.MES1-Astrocyte,-0.139060496586132,9.59880574082107e-208,0.644242886359339,1.77045032829434e-182,0.0561534483229138,0.13069370515647,0.007338902218634,1.94717066060247e-06,13.1491331823069,207.017782797422
T.MES2-T.Fiber,-0.248807350704703,0,0.417602452927941,1.85342752327655e-66,0.272191996073069,0.061354935043393,0.0167003222383946,0.997595741140948,0.00240715373032654,500
T.MES2-Oligodendrocyte,-0.319632276968695,0,0.477937381960353,2.86901276562948e-89,0.272191996073069,0.0574641332612716,0.0156412771349944,0.534083084667724,0.627203862859296,500
T.MES2-Myeloid,-0.251576326959121,0,0.147188275999898,5.8193380526583e-09,0.272191996073069,0.164496251559615,0.0447745630585493,0.191252422144025,1.65416114155033,500
T.MES2-Lymphocyte,-0.0857308667257815,1.04025307332267e-79,0.0711910480949411,0.00504585726073765,0.272191996073069,0.0316804651860097,0.00862316905550335,0.00227440337122481,6.0860375153806,78.9828609924539
T.MES2-Endothelial,-0.261573874280752,0,0.164918086488815,6.47368727504846e-11,0.272191996073069,0.0478114169614043,0.0130138850178064,0.225668811475916,1.48868679045854,500
T.MES2-Astrocyte,-0.20452778253469,0,0.463462186785264,2.26932299306865e-83,0.272191996073069,0.13069370515647,0.0355737804807249,0.668399631977037,0.402869032863927,500
T.Fiber-Oligodendrocyte,-0.150800112437648,2.39046162035343e-244,0.0753453268218939,0.00299573597452412,0.061354935043393,0.0574641332612716,0.0035257081635702,2.23127024667897e-14,31.4336202612702,243.621518224653
T.Fiber-Myeloid,0.0448136385114078,5.68434501163531e-23,0.0362876093540636,0.153302699573053,0.061354935043393,0.164496251559615,0.0100926568293218,5.49609206940373e-29,65.0709303899727,22.245319570417
T.Fiber-Lymphocyte,0.096456725596945,1.7201279225649e-100,-0.00546396411654881,0.829810557435384,0.061354935043393,0.0316804651860097,0.00194375288363209,1.86686769781635e-09,20.0990038384134,99.7644392542563
T.Fiber-Endothelial,0.235455425797845,0,0.230385300624464,4.04651122119935e-20,0.061354935043393,0.0478114169614043,0.00293346638199954,2.58970291665831e-13,28.9820630437831,500
T.Fiber-Astrocyte,-0.311996259000677,0,0.210618270079142,5.31413367439536e-17,0.061354935043393,0.13069370515647,0.0080187037904556,8.51803400155476e-18,39.3043461106699,500
Oligodendrocyte-Myeloid,0.0397858685687657,1.94121574512202e-18,0.041784708101136,0.100081913975054,0.0574641332612716,0.164496251559615,0.00945263452060136,1.90785417304878e-71,162.837562461692,17.7119261947976
Oligodendrocyte-Lymphocyte,-0.0896097455396859,6.12945227410999e-87,0.0568624529142155,0.0251765906702406,0.0574641332612716,0.0316804651860097,0.00182049047322794,0.000516005035531396,7.56939403374855,86.2125783321634
Oligodendrocyte-Endothelial,-0.102692213804361,1.03141725770164e-113,0.0209696527129774,0.409371176957784,0.0574641332612716,0.0478114169614043,0.00274744163568036,1.77689901143556e-06,13.2406408413377,112.986565606241
Oligodendrocyte-Astrocyte,0.0207264668382124,5.05361167773384e-06,0.180710164915539,7.61478279141893e-13,0.0574641332612716,0.13069370515647,0.00751020048952076,0.996043382243453,0.00396446587676437,5.2963981325579
Myeloid-Lymphocyte,-0.0354214407672008,6.2406022033709e-15,0.141596104235457,2.16369896952679e-08,0.164496251559615,0.0316804651860097,0.00521131777076346,0.0136814810791887,4.29171210662551,14.2047734999038
Myeloid-Endothelial,0.0859058268461155,4.9887632209044e-80,0.0706374721092148,0.0053986378037902,0.164496251559615,0.0478114169614043,0.00786479887190479,0.917487924329097,0.086115860634197,79.3020071082667
Myeloid-Astrocyte,-0.0473010653783048,2.07021378807006e-25,0.0553164317625068,0.0294268419926253,0.164496251559615,0.13069370515647,0.0214986246006769,1.28673209806035e-24,55.0099364849267,24.683984803246
Lymphocyte-Endothelial,-0.00687135322380393,0.130417599438093,0.0477553387309402,0.0601509896333833,0.0316804651860097,0.0478114169614043,0.00151468793053956,0.000745482864022781,7.2014784099086,0.884663797997479
Lymphocyte-Astrocyte,-0.0640572300818031,3.11401106638499e-45,0.00729085524600138,0.774255126273732,0.0316804651860097,0.13069370515647,0.00414043737624017,0.0122860008078958,4.39929481048297,44.5066798483956
Endothelial-Astrocyte,-0.10488682484922,1.44374346451869e-118,0.071653850973071,0.00476705286116399,0.0478114169614043,0.13069370515647,0.00624865123146684,0.404698014287551,0.904614133740595,117.840509968707
